RadTrack,Copyright 2012-2014 by RadiaBeam Technologies LLC - All rights reserved (C)
 p0 [eV],Q [C],mass [eV]
 200000000.0,1e-09,510998.909848
 x,xp,y,yp,s,dp
 [m],[rad],[m],[rad],[m],[rad]
-1.397214283661e-04,5.240177456339e-04,-7.981821366580e-04,3.018004799298e-03,-1.604602057746e-03,2.011679402259e-04
2.645773367244e-04,-1.693248384812e-03,-1.637479659325e-03,5.404521465445e-04,8.751859236972e-04,-1.231087428852e-03
6.645661378075e-04,-5.862787377443e-03,-8.179828748689e-04,4.809092904315e-04,3.237279723437e-04,2.129573806270e-04
-1.658247544972e-04,2.623045412613e-03,1.212023875517e-03,1.533801683915e-03,-2.604609967968e-03,-3.551853442288e-04
-1.775140044890e-04,1.203496976151e-03,-3.597731374824e-04,-3.688625680349e-04,-2.199616830746e-03,-2.066194390692e-04
-8.483824736291e-04,1.019359320575e-02,3.061838876034e-05,-1.484453256771e-05,1.356015328015e-04,1.850480184859e-03
8.205327367386e-04,-9.426520463204e-03,1.359686701176e-03,3.099211877327e-03,1.076241604957e-03,6.907054917775e-04
1.998064384870e-05,-7.102867568779e-06,-5.460528675090e-04,1.945951590114e-03,1.128253984346e-03,1.700719378950e-03
1.509830520066e-04,-6.198999017955e-04,1.260125959659e-03,-1.007037218160e-04,2.813259237510e-04,1.114051322880e-03
-8.058838152541e-04,6.735193117678e-03,-1.167671661586e-03,-1.475890728332e-03,9.545852371521e-04,-1.171091225264e-03
-5.431015743838e-04,4.557276336437e-03,-6.797420669024e-04,3.203674677891e-04,9.350370738130e-04,-5.818091751022e-04
-5.781369515155e-04,6.984681953570e-03,1.038366460683e-04,2.903711617661e-04,2.101719076021e-04,-1.259404090822e-04
-5.144865642420e-04,6.409728076858e-03,-2.000220662207e-03,1.949973662062e-04,1.011651199004e-03,-1.082060338034e-03
7.867860035140e-04,-9.373426035993e-03,-1.984357998760e-03,1.590295347599e-03,-7.306708598886e-04,7.145869901729e-04
6.195845093813e-04,-4.135360013176e-03,6.573347734669e-05,-6.727607258435e-04,-3.187732461946e-04,1.168915026862e-03
2.148134912983e-03,-2.156363737020e-02,-1.305218288456e-03,1.168661606415e-03,-7.604722346751e-04,2.396212506371e-04
-1.194945476804e-03,1.165938717252e-02,1.151162196026e-03,-2.089198817589e-04,-1.872117064646e-03,8.117960777792e-04
-3.911620517166e-04,3.317930123891e-03,2.413351810006e-03,1.066844135413e-03,1.753722770616e-04,-4.135706380517e-04
9.976888976094e-05,-9.488374225070e-04,-1.643828552820e-03,1.511208916712e-03,-1.467313864848e-03,1.186198245155e-03
6.366286457832e-04,-6.183859965271e-03,-1.998173799143e-04,8.679505868832e-04,1.199201364393e-03,1.427390753567e-03
1.183562202342e-03,-1.094305438083e-02,1.607898186789e-03,6.273231642385e-04,-5.852837450136e-04,1.280979322919e-03
